class_name,time_group,surface_group,season_group,group_label
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Moderate,Night,Sea,Winter,Moderate|Night|Sea|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Heavy,Night,Sea,Winter,Heavy|Night|Sea|Winter
Heavy,Night,Sea,Winter,Heavy|Night|Sea|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Intense,Night,Land,Winter,Intense|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
Light,Night,Land,Winter,Light|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Heavy,Night,Land,Winter,Heavy|Night|Land|Winter
Moderate,Night,Land,Winter,Moderate|Night|Land|Winter
