class_name,time_group,surface_group,season_group,group_label
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Land,Winter,Dry|Night|Land|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
Dry,Night,Sea,Winter,Dry|Night|Sea|Winter
