setup,class_id,TP,FP,FN,POD,FAR,BIAS,CSI,ETS
5class,0,11877,264,28,0.9976480470390592,0.021744502100321226,1.0198236035279293,0.9760046018571781,0.2606099084598945
5class,1,41,47,186,0.18061674008810572,0.5340909090909091,0.3876651982378855,0.14963503649635038,0.14455468996736498
5class,2,24,17,106,0.18461538461538463,0.4146341463414634,0.3153846153846154,0.16326530612244897,0.1607865979117873
5class,3,2,4,10,0.16666666666666666,0.6666666666666666,0.5,0.125,0.12467913458012468
5class,4,0,0,2,0.0,0.0,0.0,0.0,0.0
9class,0,11883,273,22,0.9981520369592608,0.022458045409674235,1.0210835783284333,0.9757759894892429,0.24237251116539277
9class,1,47,56,180,0.20704845814977973,0.5436893203883495,0.45374449339207046,0.16607773851590105,0.16042735342436534
9class,2,3,12,85,0.03409090909090909,0.8,0.17045454545454544,0.03,0.028955866523143164
9class,3,2,0,24,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07677266517090535
9class,4,0,0,16,0.0,0.0,0.0,0.0,0.0
9class,5,0,0,6,0.0,0.0,0.0,0.0,0.0
9class,6,0,0,4,0.0,0.0,0.0,0.0,0.0
9class,7,0,0,3,0.0,0.0,0.0,0.0,0.0
9class,8,0,0,1,0.0,0.0,0.0,0.0,0.0
13class,0,11881,276,24,0.9979840403191936,0.022702969482602614,1.0211675766484671,0.9753714801740415,0.23352780959155944
13class,1,40,52,187,0.1762114537444934,0.5652173913043478,0.4052863436123348,0.14336917562724014,0.13811381502414724
13class,2,7,15,81,0.07954545454545454,0.6818181818181818,0.25,0.06796116504854369,0.06653190673683476
13class,3,3,1,23,0.11538461538461539,0.25,0.15384615384615385,0.1111111111111111,0.11083211608339269
13class,4,0,0,11,0.0,0.0,0.0,0.0,0.0
13class,5,0,0,6,0.0,0.0,0.0,0.0,0.0
13class,6,0,1,4,0.0,1.0,0.25,0.0,-6.517205422314912e-05
13class,7,0,0,2,0.0,0.0,0.0,0.0,0.0
13class,8,0,0,3,0.0,0.0,0.0,0.0,0.0
13class,9,0,0,1,0.0,0.0,0.0,0.0,0.0
13class,10,0,0,1,0.0,0.0,0.0,0.0,0.0
13class,11,0,0,1,0.0,0.0,0.0,0.0,0.0
13class,12,0,0,1,0.0,0.0,0.0,0.0,0.0
13to7,0,11878,273,27,0.9977320453590928,0.022467286643074645,1.0206635867282654,0.975365413039908,0.23900804901690806
13to7,1,40,46,187,0.1762114537444934,0.5348837209302325,0.3788546255506608,0.14652014652014653,0.14151939507045086
13to7,2,22,17,91,0.19469026548672566,0.4358974358974359,0.34513274336283184,0.16923076923076924,0.16693025894878516
13to7,3,0,0,17,0.0,0.0,0.0,0.0,0.0
13to7,4,0,0,6,0.0,0.0,0.0,0.0,0.0
13to7,5,0,0,4,0.0,0.0,0.0,0.0,0.0
